age	unit	sex	geo\time	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
TOTAL	PC_ACT	M	EE	9.2	6.2	5.4	5.8i	16.7	19.3	13.1	10.9	9.1	7.9	6.2	7.4
TOTAL	PC_ACT	M	EL	6.2	5.7	5.3	5.1	7.0	10.1	15.2	21.6	24.5	23.7	21.8	19.9
TOTAL	PC_ACT	M	ES	7.1	6.4	6.4	10.1	17.7	19.6	21.1	24.6	25.6	23.6	20.8	18.1
TOTAL	PC_ACT	M	EU27	8.4	7.6	6.6	6.6	9.0	9.6	9.5	10.4	10.8	10.1	9.3	8.3
TOTAL	PC_ACT	M	EU28	8.4	7.6	6.6	6.6	9.0	9.7	9.6	10.4	10.8	10.1	9.3	8.4
TOTAL	PC_ACT	M	FI	8.2	7.4	6.5	6.1	8.9	9.1	8.4	8.3	8.8	9.3	9.9	9.0
TOTAL	PC_ACT	M	FR	8.1	8.2	7.6	7.0	9.0	9.0	8.9	9.8	10.4	10.6	10.8	10.3
TOTAL	PC_ACT	M	HR	11.8	10.3i	8.7	7.1	8.1	11.2	13.6	15.8	17.6	16.6	15.6	12.7
TOTAL	PC_ACT	M	HU	7.0	7.2	7.1	7.7i	10.3	11.6	11.1	11.3	10.2	7.6	6.6	5.1
TOTAL	PC_ACT	M	IE	4.6	4.7	5.0	7.6	15.0	17.1	17.8	17.7	15.0	12.9	10.9	9.1
TOTAL	PC_ACT	M	IS	2.6	2.7	2.3	3.3	8.6	8.3	7.8	6.4	5.7	5.1	3.9	2.9
TOTAL	PC_ACT	M	IT	6.2	5.4	4.9	5.5	6.7	7.5	7.5	9.8	11.5	11.9	11.3	10.9
TOTAL	PC_ACT	M	JP	4.6	4.3	3.9	4.1	5.2	5.4	4.9b	4.6	4.3	3.8	3.6	3.3
TOTAL	PC_ACT	M	LT	8.1	6.0	4.2	6.0	17.1	21.2	17.9	15.2	13.1	12.2	10.1	9.1
TOTAL	PC_ACT	M	LU	3.6	3.5i	3.4	4.1	4.5	3.8	3.9	4.5	5.6	5.8	5.9	6.1
TOTAL	PC_ACT	M	LV	10.1	7.3	6.5	8.4	20.9	22.7	18.6	16.2	12.6	11.8	11.1	10.9
TOTAL	PC_ACT	M	MT	6.3	6.1	5.8	5.6	6.5	6.7	6.0	5.7	6.5	6.1	5.5	4.4
TOTAL	PC_ACT	M	NL	5.0	4.1	3.3	3.0	3.9	4.5	4.6	5.5	7.2	7.2	6.5	5.6
TOTAL	PC_ACT	M	NO	4.7	3.5b	2.6	2.7	3.6	4.1	3.5	3.6	3.7	3.7	4.7	5.4
TOTAL	PC_ACT	M	PL	16.7	13.0	9.0	6.4	7.8i	9.4	9.0	9.4	9.7	8.5	7.3	6.1
TOTAL	PC_ACT	M	PT	8.7	8.6	8.7	8.6	11.0	11.9	12.6	15.9	16.3	13.8	12.4	11.1
TOTAL	PC_ACT	M	RO	7.7	8.1	7.2	6.5	7.3	7.6	7.7	7.4	7.7	7.3	7.5	6.6
TOTAL	PC_ACT	M	SE	7.7	6.9	5.9	5.9	8.6	8.7	7.8	8.2	8.2	8.2	7.5	7.3
TOTAL	PC_ACT	M	SI	6.1	4.9	4.0	4.0	5.9	7.5	8.2	8.4	9.5	9.0	8.1	7.5
TOTAL	PC_ACT	M	SK	15.6	12.4	10.0	8.4	11.5	14.3	13.7i	13.5	14.0	12.8	10.3	8.8
TOTAL	PC_ACT	M	UK	5.2	5.7	5.5	6.1	8.5	8.6	8.7	8.4	8.0	6.4	5.5	5.0
TOTAL	PC_ACT	M	US	5.1	4.6	4.7	6.1	10.3	10.5	9.4	8.2	7.6	6.3	5.4	4.9
TOTAL	PC_ACT	T	AT	5.6	5.3	4.9	4.1	5.3	4.8	4.6	4.9	5.4	5.6	5.7	6.0
